"sampleSize.1000","sampleSize.2000","sampleSize.3000","sampleSize.4000","sampleSize.5000","sampleSize.6000","sampleSize.7000","sampleSize.8000","sampleSize.9000","sampleSize.10000","sampleSize.11000","sampleSize.12000","sampleSize.13000","sampleSize.14000","sampleSize.15000","sampleSize.16000","sampleSize.17000","sampleSize.18000","sampleSize.19000","sampleSize.20000"
-0.410828099181288,-0.363284991162833,-0.238473414084894,-0.207652085148392,-0.215182723900605,-0.211128938016984,-0.187301091454743,-0.179382491864658,-0.146338762257157,-0.153017494535766,-0.176848152421193,-0.182755021108901,-0.135720249660349,-0.159771339346984,-0.144925944354606,-0.148228566235849,-0.134972346498299,-0.122142327404361,-0.155105993576922,-0.131000971401039
-0.330476568270923,-0.291968716219438,-0.230747225768729,-0.193432666961955,-0.195335104973101,-0.180313192706952,-0.161851373504612,-0.159835441652605,-0.133371055510672,-0.150973969007144,-0.160817723719689,-0.147241117815886,-0.132764065582266,-0.143529336712735,-0.130267121899368,-0.13062588594772,-0.133696702039337,-0.119255085845916,-0.131007670048398,-0.120855486903633
-0.327625457155008,-0.265581458761199,-0.229521151486084,-0.192003705795077,-0.181002396398632,-0.174622463970526,-0.155498185244256,-0.151792434340443,-0.129717538593692,-0.143263511199259,-0.158383677728272,-0.133595615776636,-0.131477303226422,-0.120806876875479,-0.125411486937863,-0.126276648871597,-0.124975118534574,-0.112744954600885,-0.126987894068353,-0.120711978554401
-0.324537907262651,-0.263742048595193,-0.205556954835495,-0.183807597575783,-0.165947819895433,-0.165690194060374,-0.152948131457446,-0.148245501628369,-0.128534326562198,-0.141750925557587,-0.147454072391582,-0.132723635457284,-0.130967313691684,-0.120146975716718,-0.124792869775365,-0.12432787243413,-0.122755483926488,-0.112668775895128,-0.106341817638683,-0.117095814455475
-0.319864740947658,-0.248818183709815,-0.204633792268775,-0.177976425990999,-0.165643986656128,-0.159714449493987,-0.147280329587287,-0.145374762200611,-0.119339228973658,-0.136747093257961,-0.146591400014593,-0.12104548959571,-0.130870025148437,-0.118005930886018,-0.117829847934136,-0.12305850880511,-0.121297704210672,-0.110204081524613,-0.10392483918322,-0.111727248478219
-0.309924480790376,-0.247119507737156,-0.197984823398798,-0.17674872240037,-0.165629577072497,-0.157085049379287,-0.145173127915696,-0.144976431461012,-0.1183348219691,-0.134053864836505,-0.146517307489836,-0.111461988141134,-0.130499499808379,-0.116121122069243,-0.115070612312329,-0.121395895904915,-0.120782394890532,-0.106731924492432,-0.1020876036216,-0.106195670936234
-0.307988168384051,-0.244955885052448,-0.19584359533159,-0.165859750733295,-0.164327339710352,-0.154100838343804,-0.136350151155928,-0.142967915536147,-0.117433203830637,-0.131503355384819,-0.143356562711073,-0.110800279240082,-0.130231669336656,-0.109571114983113,-0.108669232445727,-0.121151499915942,-0.119059242393023,-0.106446661508747,-0.101117535763948,-0.101627959825367
-0.298192631528245,-0.244190998082452,-0.194789115016571,-0.164161073817301,-0.158049769790554,-0.153662404549725,-0.134078498295648,-0.140052121572814,-0.116628048890189,-0.131132751834902,-0.136822837836706,-0.110122017034648,-0.129357296197012,-0.107360381290793,-0.103787802241896,-0.115686652811411,-0.113346293043281,-0.101024677371246,-0.101058497014095,-0.0990166327977361
-0.298010425048032,-0.2437046457823,-0.190737467389218,-0.163787005735282,-0.157467643485582,-0.152405288162255,-0.132970171999466,-0.138963599080421,-0.113987355581024,-0.130157975188085,-0.13317166439609,-0.110079574454508,-0.128859313253342,-0.10668295611806,-0.100406482594325,-0.113369165929464,-0.109070880728923,-0.0999788018949939,-0.100019693761628,-0.0989487595900064
-0.297743944622413,-0.240734435067854,-0.182764494628827,-0.157966418386382,-0.157407653962174,-0.144969571872333,-0.130374419488505,-0.137473501895814,-0.112866013033295,-0.126415097590951,-0.133167399069668,-0.110059751401548,-0.12663930209801,-0.105250050747924,-0.0996497915440499,-0.112225807975422,-0.10658574892886,-0.0995911844461247,-0.0990840090722769,-0.0925135796088071
-0.282433164026339,-0.237983938133713,-0.179381694314535,-0.156129038668516,-0.156074044322783,-0.144939537986527,-0.129573735193033,-0.13601594702205,-0.112277158467146,-0.122689524202526,-0.122263559310018,-0.106246368109626,-0.124715521262295,-0.103711593140684,-0.0983443674424656,-0.109568293378864,-0.106560853473815,-0.0987441343326571,-0.0955468626628513,-0.0915361325404226
-0.281969081538062,-0.23284433983942,-0.175808786490668,-0.154750663236983,-0.155081415536606,-0.141111052222477,-0.129490058029196,-0.135704801710611,-0.112071442196454,-0.121816604685656,-0.122255783092389,-0.105761972754173,-0.121734893419514,-0.103260197478933,-0.0983113657368932,-0.104638916989222,-0.104914302409783,-0.0975275783242302,-0.0921812925609777,-0.0913954040143995
-0.277403609966207,-0.230458192936687,-0.175622382468813,-0.154508623533534,-0.143850288866975,-0.139053281695207,-0.129246246325294,-0.134979818579796,-0.110848665619565,-0.120174004131093,-0.117280382967545,-0.105373269370319,-0.120239416708035,-0.101824504031609,-0.097781243589975,-0.102682953771826,-0.10341394559804,-0.0971816645098856,-0.0913099229105258,-0.0902853619459551
-0.273075655819618,-0.218925928790914,-0.172370205291991,-0.153875324515587,-0.143315837952662,-0.138740456481384,-0.128271272230712,-0.134383559048384,-0.109232060949035,-0.116918237166106,-0.117230883238181,-0.10423291059118,-0.117135180857735,-0.0984055641865906,-0.0977476062453691,-0.100339835911571,-0.102706419822452,-0.0946746979919915,-0.0900292549833558,-0.0896198599293681
-0.273035652873951,-0.217806650407204,-0.171811249520907,-0.149856554345915,-0.142196790406784,-0.138717341132335,-0.127774778794008,-0.134061989001937,-0.108892462850396,-0.116483436978728,-0.115707299527953,-0.103564838301082,-0.112849453307476,-0.0963692923751208,-0.0976311467741023,-0.100324732145419,-0.101203155830661,-0.0907940135566492,-0.0894804123716662,-0.0889146921948914
-0.267477891617477,-0.214959605904675,-0.17130068907724,-0.148957526038553,-0.140553701327224,-0.138544721572653,-0.126790877476083,-0.130984832793186,-0.108867535325809,-0.116071378611501,-0.114685070737762,-0.100817301531142,-0.112742940045503,-0.0959493869977447,-0.0973631226275852,-0.0971583998638477,-0.0983788366170832,-0.090636418618707,-0.0891193849042038,-0.0856571226699892
-0.256002861967448,-0.210564751939802,-0.171043255728617,-0.148520719783051,-0.13694191258532,-0.132931939180604,-0.12423030082983,-0.130709751482223,-0.10749254445913,-0.114808641291254,-0.112576575171732,-0.0996186371044641,-0.111468347980685,-0.0946554795211459,-0.0961522928290841,-0.0941695520839481,-0.0980149114694688,-0.0901988088464783,-0.088141925174282,-0.0841165713641829
-0.252704339150909,-0.21046887052755,-0.170866570555542,-0.148515604463013,-0.134461163501556,-0.132772768091876,-0.123216964754805,-0.130638896601573,-0.107095968311345,-0.114788605946437,-0.109759921393386,-0.0994355993450669,-0.109856705554737,-0.094374286977067,-0.0960970420310876,-0.093793298237912,-0.0974496489148547,-0.0890229923775702,-0.0877485146156143,-0.0814701613843133
