"sampleSize.1000","sampleSize.2000","sampleSize.3000","sampleSize.4000","sampleSize.5000","sampleSize.6000","sampleSize.7000","sampleSize.8000","sampleSize.9000","sampleSize.10000","sampleSize.11000","sampleSize.12000","sampleSize.13000","sampleSize.14000","sampleSize.15000","sampleSize.16000","sampleSize.17000","sampleSize.18000","sampleSize.19000","sampleSize.20000"
-10.3148426220823,-11.8286769234579,-9.03988500287141,-8.76821639049219,-9.87924187320238,-10.3790343218258,-9.75561244729429,-9.82293485359132,-8.37534651939785,-9.11052811477496,-10.9125249564491,-11.6510415516381,-8.91611934451156,-10.7919358531067,-10.0457606652326,-10.5263878397399,-9.80540665564532,-9.06558525723599,-11.7479921167707,-10.114938124613
-8.29742122993435,-9.50659592311232,-8.74700600771518,-8.16779412400504,-8.96801896256325,-8.86414166319962,-8.43005911876805,-8.75254387609422,-7.63317106370491,-8.98885838780518,-9.92335740862474,-9.38695074626865,-8.72191332064631,-9.69485141185945,-9.02966225252089,-9.27634107455055,-9.71273424538759,-8.85128989327371,-9.92274405051797,-9.33157791866983
-8.22583712330351,-8.64741827756598,-8.70052883304719,-8.10745550175693,-8.30999078939677,-8.58438717086747,-8.09915211768575,-8.31211105551588,-7.42407082449133,-8.52978445740495,-9.77316309071506,-8.51701945635061,-8.63737968059305,-8.16003715799696,-8.69308658335248,-8.967481875323,-9.07913280654432,-8.36809826681782,-9.61827937165092,-9.32049725218828
-8.14831664383546,-8.58752648706352,-7.79211066518219,-7.76137060511215,-7.61882097855998,-8.14527950121291,-7.96633208833806,-8.11788201678079,-7.35635253429376,-8.43972642805173,-9.09874501301467,-8.46142875973756,-8.6038760024937,-8.11546338773344,-8.65020620064715,-8.82909035528979,-8.91788185015307,-8.36244416994163,-8.05451038023715,-9.0412834744743
-8.03098539219509,-8.10160061488966,-7.75711605803015,-7.51514637755894,-7.60487170788524,-7.85151371744333,-7.67112356582565,-7.96068113230556,-6.83009327532608,-8.14180261884508,-9.04551327881645,-7.71692082855343,-8.59748464774293,-7.97084409264604,-8.16755382784202,-8.73894704345703,-8.81197776462171,-8.17951088691223,-7.87144431562958,-8.62676202400653
-7.78141088804299,-8.04629117528438,-7.50507155150552,-7.46330596026515,-7.60421015030572,-7.72225320823694,-7.56136957188642,-7.9388686529237,-6.77260846009369,-7.98145014851066,-9.04094135361155,-7.10595116555901,-8.57314304683673,-7.84353254897903,-7.97629324438267,-8.62087730387007,-8.77454181890018,-7.92180222628105,-7.73228896517003,-8.19965401121638
-7.73279503684337,-7.97584292021125,-7.42390336105226,-7.00351351571241,-7.54442320438483,-7.57555030217506,-7.10182317399169,-7.82888288520878,-6.72100651798811,-7.82959504111213,-8.84590563620651,-7.06376574239268,-8.55554796831341,-7.40110491083178,-7.53257193310542,-8.60352162789115,-8.64935905808935,-7.90062958323189,-7.65881437349496,-7.84696872374565
-7.48685416457148,-7.95093795284093,-7.38393085165478,-6.9317860068539,-7.25621404665397,-7.55399703032452,-6.9835037090726,-7.66921482702432,-6.67492541463553,-7.8075296291068,-8.44273808950639,-7.02052500903023,-8.49810616958247,-7.25177840275261,-7.19420822776539,-8.21543786260909,-8.23432743842325,-7.49820185398804,-7.65434267803135,-7.64534112491846
-7.4822794259597,-7.93510216449451,-7.23034379976483,-6.91599078916764,-7.22948807877269,-7.4921975714032,-6.92577632624364,-7.60960764118197,-6.52379169466567,-7.74949227806148,-8.21744016727451,-7.01781919957137,-8.46539126249671,-7.20602095314182,-6.95982695073863,-8.05086252903902,-7.9237293236949,-7.42057542013905,-7.57566195048865,-7.64010045159244
-7.47558878416184,-7.8383911420454,-6.92810987083177,-6.67021348643341,-7.22673390315457,-7.12666002214384,-6.79057607028493,-7.52801033802395,-6.4596143553243,-7.52664461164068,-8.21717697266152,-7.01655543558662,-8.3195479969809,-7.10923373898136,-6.90737576801601,-7.96966745598712,-7.74319065392521,-7.391805876406,-7.50479159853914,-7.14322285874382
